iter	Passed	Remaining
0	0	417
1	1	381
2	1	366
3	1	362
4	2	355
5	2	327
6	3	326
7	3	328
8	4	330
9	4	348
10	5	348
11	5	353
12	6	354
13	6	352
14	7	352
15	7	349
16	8	348
17	8	346
18	8	343
19	9	340
20	9	340
21	10	339
22	10	339
23	11	338
24	11	337
25	12	336
26	12	335
27	12	334
28	13	333
29	13	331
30	14	328
31	14	328
32	15	328
33	15	327
34	16	327
35	16	326
36	16	326
37	17	325
38	17	323
39	18	323
40	18	322
41	19	321
42	19	320
43	19	320
44	20	319
45	20	318
46	21	317
47	21	316
48	22	315
49	22	315
50	22	314
51	23	314
52	23	312
53	24	310
54	24	309
55	24	309
56	25	309
57	25	308
58	26	308
59	26	307
60	27	306
61	27	306
62	27	305
63	28	304
64	28	304
65	29	304
66	29	304
67	30	305
68	30	305
69	31	304
70	31	304
71	32	302
72	32	302
73	33	302
74	33	300
75	33	300
76	34	299
77	34	299
78	35	298
79	35	298
80	36	298
81	36	297
82	37	297
83	37	296
84	37	296
85	38	295
86	38	295
87	39	294
88	39	294
89	40	293
90	40	292
91	40	291
92	41	290
93	41	290
94	42	290
95	42	289
96	42	289
97	43	288
98	43	287
99	44	286
100	44	286
101	44	285
102	45	285
103	45	285
104	46	284
105	46	284
106	47	283
107	47	283
108	48	282
109	48	282
110	48	281
111	49	281
112	49	279
113	49	278
114	50	278
115	50	278
116	51	278
117	51	277
118	52	277
119	52	276
120	53	275
121	53	275
122	53	274
123	54	274
124	54	273
125	55	273
126	55	273
127	56	272
128	56	272
129	57	271
130	57	271
131	57	271
132	58	270
133	58	270
134	59	270
135	59	269
136	60	268
137	60	268
138	61	268
139	61	267
140	61	266
141	62	266
142	62	265
143	63	265
144	63	264
145	63	264
146	64	263
147	64	263
148	65	262
149	65	261
150	66	261
151	66	261
152	66	260
153	67	260
154	67	259
155	68	259
156	68	258
157	68	258
158	69	257
159	69	257
160	70	257
161	70	256
162	71	256
163	71	256
164	72	255
165	72	255
166	72	254
167	73	254
168	73	253
169	74	253
170	74	252
171	75	252
172	75	251
173	76	251
174	76	251
175	76	250
176	77	250
177	77	249
178	77	248
179	78	248
180	78	247
181	79	247
182	79	247
183	80	246
184	80	246
185	81	245
186	81	245
187	81	245
188	82	244
189	82	243
190	83	243
191	83	242
192	83	242
193	84	241
194	84	241
195	85	241
196	85	240
197	86	239
198	86	239
199	86	238
200	87	238
201	87	237
202	88	237
203	88	237
204	89	237
205	89	236
206	90	236
207	90	235
208	90	235
209	91	235
210	91	234
211	92	234
212	92	234
213	93	233
214	93	233
215	94	232
216	94	232
217	94	231
218	95	231
219	95	230
220	96	229
221	96	229
222	97	229
223	97	229
224	98	228
225	98	228
226	98	227
227	99	227
228	99	226
229	100	226
230	100	226
231	101	225
232	101	225
233	101	224
234	102	224
235	102	223
236	102	222
237	103	222
238	103	222
239	104	221
240	104	220
241	104	220
242	105	219
243	105	219
244	106	218
245	106	218
246	107	218
247	107	217
248	107	217
249	108	216
250	108	216
251	109	215
252	109	214
253	109	214
254	110	214
255	110	213
256	111	213
257	111	212
258	112	212
259	112	212
260	112	211
261	113	211
262	113	210
263	114	210
264	114	209
265	115	209
266	115	209
267	116	208
268	116	208
269	117	208
270	117	207
271	117	207
272	118	206
273	118	206
274	119	206
275	119	205
276	120	205
277	120	204
278	121	204
279	121	204
280	122	203
281	122	203
282	122	202
283	123	202
284	123	201
285	124	201
286	124	201
287	125	200
288	125	200
289	125	199
290	126	199
291	126	198
292	127	198
293	127	198
294	128	197
295	128	197
296	129	196
297	129	196
298	129	195
299	130	195
300	130	195
301	131	194
302	131	193
303	131	193
304	132	192
305	132	192
306	133	192
307	133	191
308	134	191
