iter	Passed	Remaining
0	1	763
1	2	728
2	4	720
3	5	742
4	7	741
5	8	728
6	10	719
7	11	715
8	12	707
9	14	700
10	15	697
11	17	692
12	18	687
13	19	687
14	21	685
15	22	682
16	23	679
17	25	677
18	26	674
19	27	671
20	29	667
21	30	665
22	32	664
23	33	662
24	34	660
25	36	660
26	37	658
27	38	655
28	40	654
29	41	653
30	43	651
31	44	649
32	45	648
33	47	647
34	48	645
35	50	645
36	51	644
37	52	640
38	54	639
39	55	638
40	56	637
41	58	636
42	59	635
43	61	634
44	62	632
45	63	630
46	65	629
47	66	629
48	68	627
49	69	627
50	71	627
51	72	625
52	74	624
53	75	622
54	76	620
55	78	618
56	79	618
57	81	617
58	82	616
59	83	614
60	85	614
61	86	612
62	88	611
63	89	609
64	90	608
65	92	607
66	93	605
67	94	603
68	96	603
69	98	602
70	99	600
71	100	599
72	102	598
73	103	597
74	104	594
75	106	593
76	107	591
77	109	590
78	110	589
79	112	588
80	113	587
81	114	585
82	116	584
83	117	583
84	119	581
85	120	579
86	121	577
87	123	576
88	124	574
89	125	573
90	127	575
91	129	574
92	130	572
93	132	571
94	133	569
95	135	568
96	136	566
97	137	565
98	139	563
99	140	562
100	142	561
101	143	560
102	145	558
103	146	557
104	147	556
105	149	554
106	150	552
107	151	550
108	153	549
109	154	548
110	156	546
111	157	546
112	159	544
113	160	543
114	161	541
115	163	540
116	164	539
117	166	538
118	167	537
119	169	535
120	170	534
121	172	533
122	173	531
123	174	530
124	176	528
125	177	527
126	179	526
127	180	524
128	181	523
129	183	521
130	184	520
131	185	518
132	187	517
133	188	515
134	190	514
135	191	512
136	193	511
137	194	509
138	195	508
139	197	507
140	198	505
141	200	504
142	201	502
143	202	501
144	204	500
145	205	499
146	207	497
147	208	496
148	210	494
149	211	493
150	212	491
151	214	490
152	215	489
153	217	487
154	218	486
155	219	485
156	221	483
157	222	482
158	224	480
159	225	479
160	226	477
161	228	476
162	229	474
163	231	473
164	232	472
165	234	470
166	235	469
167	236	468
168	238	466
169	239	465
170	241	463
171	242	462
172	243	460
173	245	459
174	246	458
175	248	456
176	249	455
177	251	454
178	252	453
179	254	452
180	255	450
181	257	449
182	258	448
183	260	446
184	261	444
185	262	443
186	264	442
187	265	441
188	267	439
189	268	438
190	270	437
191	271	435
192	272	434
193	274	432
194	275	431
195	277	430
196	278	428
197	280	427
198	281	425
199	282	424
200	284	422
201	285	421
202	287	420
203	288	418
204	290	417
205	291	416
206	292	414
207	294	413
208	295	412
209	297	410
210	298	409
211	300	407
212	301	406
213	302	404
214	304	403
215	305	401
216	306	400
217	308	398
218	309	397
219	311	396
220	312	394
221	314	393
222	315	391
223	316	390
224	318	388
225	319	387
226	320	385
227	322	384
228	323	383
229	325	381
230	326	380
231	328	379
232	329	377
233	331	376
234	332	374
235	333	373
236	335	372
237	336	370
238	338	369
239	339	367
240	340	366
241	342	364
242	343	363
243	345	362
244	346	360
245	347	359
246	349	357
247	350	356
248	351	354
249	353	353
250	354	351
251	356	350
252	357	349
253	358	347
254	360	346
255	362	345
256	363	343
257	364	342
258	366	340
259	367	339
260	369	337
261	370	336
262	372	335
263	373	333
264	375	332
265	376	331
266	377	329
267	379	328
268	380	327
269	382	325
270	383	324
271	384	322
272	386	321
273	387	319
274	388	318
275	390	316
276	391	315
277	393	313
278	394	312
279	395	311
280	397	309
281	398	308
282	400	306
283	401	305
284	403	304
285	406	303
286	407	302
287	409	301
288	411	300
289	412	298
290	414	297
291	416	296
292	417	295
293	419	293
294	420	292
295	422	291
296	424	289
297	425	288
298	427	287
299	429	286
300	431	285
