iter	MultiClass
0	1.887411823
1	1.851393681
2	1.80174157
3	1.749706557
4	1.724027408
5	1.690887261
6	1.666776725
7	1.647604527
8	1.624717463
9	1.599978137
10	1.563870234
11	1.556636386
12	1.538876351
13	1.523011588
14	1.497337799
15	1.477115823
16	1.45784633
17	1.429355718
18	1.412911041
19	1.408790691
20	1.399723402
21	1.38940577
22	1.373978793
23	1.359664939
24	1.351349305
25	1.336612891
26	1.317037273
27	1.305536673
28	1.295859343
29	1.27815097
30	1.261289697
31	1.257425554
32	1.242519104
33	1.233016986
34	1.222674215
35	1.218174955
36	1.212249072
37	1.205934996
38	1.191246353
39	1.182413907
40	1.178545048
41	1.169570289
42	1.164973091
43	1.161188123
44	1.154670319
45	1.151200075
46	1.145842178
47	1.137786952
48	1.133018547
49	1.127532426
50	1.118370391
51	1.111785383
52	1.101581292
53	1.095658449
54	1.086791945
55	1.082273009
56	1.07705271
57	1.070604597
58	1.066030806
59	1.059927186
60	1.05620743
61	1.049759553
62	1.044598902
63	1.039505674
64	1.034810906
65	1.032359112
66	1.026496574
67	1.021903004
68	1.017553892
69	1.011795138
70	1.008850664
71	1.006741599
72	1.001284301
73	0.998340449
74	0.9951447149
75	0.9902536247
76	0.9834152365
77	0.9784859353
78	0.9721370567
79	0.9691893935
80	0.9647766108
81	0.9594529175
82	0.955616003
83	0.9518916579
84	0.9492737692
85	0.9450913037
86	0.9439508124
87	0.9380322979
88	0.9319509626
89	0.9279477549
90	0.9239328556
91	0.919722938
92	0.9160125331
93	0.9133181221
94	0.9105874502
95	0.9045703376
96	0.9009639492
97	0.8986227503
98	0.8958406037
99	0.8919085025
100	0.8893820829
101	0.886665047
102	0.8832095557
103	0.8800386417
104	0.8769185972
105	0.8752511717
106	0.8709138075
107	0.8693609583
108	0.8681206093
109	0.8661164938
110	0.8624243984
111	0.8588776869
112	0.8561462485
113	0.8511765444
114	0.8477199362
115	0.8428478375
116	0.8395063752
117	0.8366836372
118	0.8322804084
119	0.8302511836
120	0.8264000143
121	0.8229327102
122	0.8206460091
123	0.817005488
124	0.8145396424
125	0.8125834301
126	0.8099774296
127	0.8074242076
128	0.80584043
129	0.8034657353
130	0.8001186011
131	0.7964256375
132	0.7932597482
133	0.7905371583
134	0.7865327033
135	0.7842971371
136	0.7824740353
137	0.7805559558
138	0.7784864059
139	0.7773095027
140	0.7754933317
141	0.7740577228
142	0.7709010467
143	0.7697704355
144	0.7674970611
145	0.7638094938
146	0.7620527739
147	0.7599149318
148	0.7578240882
149	0.7564843121
150	0.7541510087
151	0.7512845617
152	0.7490676634
153	0.7464697776
154	0.7446012629
155	0.7427574522
156	0.7401823712
157	0.7380962263
158	0.7361938935
159	0.7350784405
160	0.7331842954
161	0.7309702125
162	0.7294378543
163	0.7273432949
164	0.7254822767
165	0.7243633484
166	0.7219311371
167	0.7203016183
168	0.7189659858
169	0.71785519
170	0.7156660564
171	0.7135255496
172	0.7118216738
173	0.7096797052
174	0.7079386208
175	0.7069208402
176	0.7046719287
177	0.7032642187
178	0.7022198005
179	0.7003550831
180	0.6990497183
181	0.6965333348
182	0.6950822188
183	0.6938449474
184	0.6926765033
185	0.6903755895
186	0.6887314795
187	0.6870064414
188	0.6860444928
189	0.6837754526
190	0.682862107
191	0.6796157616
192	0.6786654508
193	0.6763817691
194	0.6753192193
195	0.674355762
196	0.6725551875
197	0.6716725613
198	0.669931199
199	0.6686920132
200	0.6674592092
201	0.6663585245
202	0.6650161998
203	0.6633868893
204	0.6620036113
205	0.6603018219
206	0.658918865
207	0.6574295344
208	0.6561206765
209	0.6549159099
210	0.6536461703
211	0.6525317911
212	0.6514392693
213	0.6504114989
214	0.6488940659
215	0.6478270853
216	0.6467830226
217	0.6455808188
218	0.6444740335
219	0.6431688955
220	0.6422381869
221	0.6409707209
222	0.6394702398
223	0.6382213962
224	0.6377099872
225	0.636025565
226	0.6351654315
227	0.6334955084
228	0.6322515604
229	0.6315146623
230	0.6311237479
231	0.6300571289
232	0.6283728895
233	0.6265727904
234	0.6246733573
235	0.6232488371
236	0.622276961
237	0.6208348017
238	0.6190516838
239	0.618042878
240	0.6167115696
241	0.614963469
242	0.61295107
243	0.6117651847
244	0.6110468822
245	0.6094559916
246	0.6079745096
247	0.6073670129
248	0.6059819981
249	0.6048888314
250	0.6043357981
251	0.6035196871
252	0.6027310696
253	0.6015125628
254	0.6007496616
255	0.5995769045
256	0.5979713116
257	0.5967053875
258	0.5953779878
259	0.5947984412
260	0.5938364838
261	0.5927861028
262	0.5920058118
263	0.59077839
264	0.5903001798
265	0.5889439534
266	0.5879268184
267	0.5864119145
268	0.5855157873
269	0.5845313401
270	0.5829801472
271	0.5823565643
272	0.581471365
273	0.5802031078
274	0.5793111915
275	0.5784586901
276	0.5772129571
277	0.5764373285
278	0.5752601117
279	0.5748759935
280	0.5733734811
281	0.5725572195
282	0.5710948102
283	0.5699866032
284	0.5685526106
285	0.5677981805
286	0.5667977846
287	0.5664541392
288	0.5649802109
289	0.5639131849
290	0.5621314591
291	0.5604613368
292	0.5595223881
293	0.5585158438
294	0.5577000874
295	0.5566179691
296	0.5554015519
297	0.5543478361
298	0.55346228
299	0.5520273395
