iter	Passed	Remaining
0	1	567
1	3	499
2	4	483
3	6	489
4	8	484
5	9	475
6	11	484
7	13	476
8	14	469
9	16	473
10	17	469
11	19	462
12	20	457
13	22	457
14	23	455
15	25	451
16	27	450
17	28	447
18	30	444
19	31	440
20	33	438
21	34	435
22	35	432
23	37	429
24	38	427
25	40	425
26	41	423
27	43	422
28	45	420
29	46	418
30	48	416
31	49	414
32	51	413
33	52	410
34	54	409
35	55	407
36	57	405
37	58	403
38	60	402
39	61	401
40	63	399
41	64	398
42	66	396
43	67	394
44	69	392
45	70	391
46	72	389
47	73	387
48	75	386
49	76	384
50	78	383
51	79	381
52	81	380
53	83	379
54	84	377
55	86	376
56	87	375
57	89	373
58	90	371
59	92	370
60	94	368
61	95	366
62	97	365
63	98	364
64	100	362
65	101	360
66	103	359
67	104	358
68	106	356
69	108	355
70	109	353
71	111	352
72	112	350
73	114	349
74	115	347
75	117	345
76	119	344
77	120	343
78	122	341
79	123	339
80	125	338
81	126	337
82	128	335
83	130	335
84	131	333
85	133	331
86	134	329
87	136	328
88	137	326
89	139	324
90	140	323
91	142	321
92	143	320
93	145	318
94	146	316
95	148	315
96	149	313
97	151	312
98	152	310
99	154	308
100	155	306
101	157	305
102	158	304
103	160	302
104	162	300
105	163	299
106	165	297
107	166	295
108	168	294
109	169	292
110	171	291
111	172	289
112	174	288
113	175	286
114	177	285
115	178	283
116	180	282
117	182	280
118	183	279
119	185	278
120	186	276
121	188	274
122	190	273
123	191	271
124	193	270
125	194	268
126	196	267
127	197	265
128	199	264
129	200	262
130	202	261
131	203	259
132	205	257
133	206	256
134	208	254
135	209	253
136	211	251
137	213	250
138	214	248
139	215	246
140	217	245
141	218	243
142	220	241
143	221	240
144	223	238
145	224	237
146	226	235
147	227	234
148	229	232
149	230	230
150	232	229
151	233	227
152	235	226
153	236	224
154	238	223
155	240	221
156	241	220
157	243	218
158	244	217
159	246	215
160	247	213
161	249	212
162	250	210
163	252	209
164	253	207
165	255	206
166	256	204
167	258	202
168	259	201
169	261	199
170	262	198
171	264	196
172	265	195
173	267	193
174	268	192
175	270	190
176	272	189
177	273	187
178	274	185
179	276	184
180	277	182
181	279	181
182	281	179
183	282	178
184	284	176
185	285	174
186	287	173
187	288	172
188	290	170
189	291	168
190	293	167
191	294	165
192	296	164
193	298	162
194	299	161
195	301	159
196	302	158
197	303	156
198	305	155
199	306	153
200	308	151
201	310	150
202	311	148
203	313	147
204	314	145
205	316	144
206	317	142
207	319	141
208	320	139
209	322	138
210	323	136
211	325	134
212	326	133
213	328	131
214	329	130
215	331	128
216	332	127
217	334	125
218	335	124
219	337	122
220	338	121
221	340	119
222	341	117
223	343	116
224	344	114
225	346	113
226	347	111
227	349	110
228	350	108
229	352	107
230	353	105
231	354	104
232	356	102
233	358	100
234	359	99
235	361	97
236	362	96
237	364	94
238	365	93
239	367	91
240	369	90
241	370	88
242	372	87
243	373	85
244	375	84
245	376	82
246	378	81
247	380	79
248	381	78
249	383	76
250	385	75
251	386	73
252	388	72
253	389	70
254	391	69
255	393	67
256	394	66
257	396	64
258	398	63
259	399	61
260	401	59
261	402	58
262	404	56
263	405	55
264	407	53
265	408	52
266	410	50
267	411	49
268	413	47
269	414	46
270	416	44
271	417	43
272	419	41
273	420	39
274	422	38
275	424	36
276	425	35
277	427	33
278	428	32
279	430	30
280	431	29
281	433	27
282	434	26
283	436	24
284	438	23
285	439	21
286	441	19
287	442	18
288	444	16
289	445	15
290	447	13
291	448	12
292	450	10
293	451	9
294	453	7
295	455	6
296	456	4
297	458	3
298	459	1
299	461	0
