iter	RMSE
0	0.5480519297
1	0.4910201868
2	0.429648863
3	0.3843811661
4	0.3525970632
5	0.3257682672
6	0.307619069
7	0.2926556237
8	0.2824716553
9	0.2732855619
10	0.2645870655
11	0.2587004769
12	0.2517844946
13	0.2475366066
14	0.2436130837
15	0.2396065061
16	0.2361816914
17	0.2339230462
18	0.2317440805
19	0.2294789527
20	0.22781291
21	0.2255782224
22	0.2232332208
23	0.2214373072
24	0.2200246404
25	0.2188982722
26	0.2176899625
27	0.2166870118
28	0.2145775745
29	0.2133257266
30	0.2124394166
31	0.2117679048
32	0.2110205149
33	0.2100793177
34	0.2090054793
35	0.2082694655
36	0.2064370929
37	0.2051113819
38	0.2043402593
39	0.200930324
40	0.1988110602
41	0.1977974761
42	0.1959202709
43	0.1941888776
44	0.1932037625
45	0.1922178724
46	0.1918402499
47	0.1910100211
48	0.1905226364
49	0.1893311392
50	0.1879285298
51	0.1862588091
52	0.1858442923
53	0.1853784929
54	0.1841989517
55	0.1832667616
56	0.1823355134
57	0.1820628532
58	0.1812188645
59	0.1809742818
60	0.1801867373
61	0.1797079997
62	0.1795364744
63	0.178822121
64	0.1783764358
65	0.1778230684
66	0.1774605818
67	0.176494735
68	0.1759868559
69	0.17504709
70	0.1731926299
71	0.1729670927
72	0.172655296
73	0.1718864068
74	0.1714386419
75	0.1711420562
76	0.1706690315
77	0.1702283523
78	0.1701706514
79	0.1700902755
80	0.1699250142
81	0.1697655044
82	0.1683664235
83	0.168136135
84	0.1668702542
85	0.1667933291
86	0.1660658239
87	0.1660150122
88	0.1657958181
89	0.1648394469
90	0.1645907974
91	0.1644542059
92	0.1643141462
93	0.1639704472
94	0.163285966
95	0.1631684362
96	0.1627949475
97	0.1622297418
98	0.1618359988
99	0.1613560561
100	0.1610395472
101	0.1606915774
102	0.1605463822
103	0.1596253804
104	0.1594305386
105	0.1587098791
106	0.1576704142
107	0.1573523814
108	0.1571743642
109	0.1566995778
110	0.1563901034
111	0.1562234155
112	0.1558335005
113	0.1554897919
114	0.1553229952
115	0.1551270152
116	0.1550306482
117	0.1548009928
118	0.1545740436
119	0.1545599948
120	0.1539193231
121	0.1537748232
122	0.1536625619
123	0.153455803
124	0.1531337646
125	0.1527995913
126	0.1519962668
127	0.151739248
128	0.1515774714
129	0.1508433002
130	0.1508044167
131	0.1498720686
132	0.1494841574
133	0.148901388
134	0.1481247072
135	0.1480846043
136	0.1480390225
137	0.1479427065
138	0.147722435
139	0.1475444593
140	0.1470974441
141	0.1470566041
142	0.146543381
143	0.1464713952
144	0.1463970856
145	0.1461530544
146	0.1459894882
147	0.1459064466
