iter	Passed	Remaining
0	18	6858
1	34	6598
2	51	6423
3	59	5607
4	71	5353
5	80	4997
6	90	4800
7	102	4785
8	113	4682
9	121	4513
10	130	4361
11	136	4200
12	144	4083
13	151	3958
14	157	3837
15	164	3734
16	189	4037
17	199	4009
18	206	3929
19	213	3841
20	220	3762
21	226	3686
22	233	3624
23	240	3573
24	248	3523
25	254	3466
26	261	3415
27	267	3365
28	274	3316
29	280	3274
30	288	3249
31	297	3231
32	306	3221
33	312	3183
34	319	3146
35	326	3116
36	333	3093
37	341	3076
38	349	3054
39	356	3032
40	363	3006
41	371	2993
42	379	2970
43	387	2959
44	395	2942
45	404	2937
46	414	2936
47	422	2919
48	429	2903
49	440	2904
50	449	2897
51	456	2882
52	464	2864
53	471	2844
54	478	2827
55	488	2826
56	501	2842
57	512	2843
58	521	2839
59	531	2835
60	541	2833
61	551	2828
62	559	2815
63	568	2806
64	575	2789
65	583	2774
66	592	2766
67	601	2760
68	610	2749
69	620	2747
70	629	2741
71	637	2725
72	645	2715
73	653	2701
74	662	2694
75	672	2688
76	680	2676
77	688	2666
78	696	2653
79	705	2645
80	713	2635
81	723	2629
82	731	2618
83	739	2606
84	748	2598
85	759	2596
86	769	2591
87	782	2594
88	791	2587
89	800	2578
90	808	2566
91	819	2565
92	828	2555
93	837	2547
94	845	2537
95	854	2528
96	862	2517
97	871	2508
98	881	2500
99	889	2491
100	899	2485
101	909	2478
102	917	2467
103	928	2463
104	937	2454
105	945	2443
106	953	2433
107	962	2423
108	971	2415
109	980	2405
110	987	2394
111	998	2388
112	1010	2386
113	1019	2379
114	1037	2389
115	1045	2379
116	1053	2367
117	1061	2356
118	1074	2356
119	1085	2351
120	1094	2343
121	1103	2333
122	1113	2325
123	1120	2314
124	1132	2311
125	1141	2302
126	1149	2290
127	1156	2277
128	1163	2264
129	1171	2252
130	1178	2240
131	1185	2227
132	1193	2216
133	1200	2204
134	1209	2194
135	1217	2183
136	1225	2173
137	1232	2161
138	1240	2150
139	1247	2138
140	1254	2127
141	1261	2114
142	1268	2103
143	1276	2091
144	1283	2079
145	1290	2068
146	1297	2057
147	1305	2046
148	1312	2034
149	1319	2023
150	1328	2014
151	1336	2004
152	1344	1994
153	1367	2006
154	1378	2000
155	1387	1992
156	1396	1982
157	1404	1974
158	1414	1965
159	1423	1956
160	1433	1949
161	1442	1940
162	1450	1930
163	1458	1921
164	1466	1910
165	1476	1902
166	1484	1892
167	1493	1884
168	1501	1874
169	1509	1864
170	1517	1854
171	1526	1846
172	1537	1840
173	1547	1831
174	1555	1821
175	1564	1813
176	1573	1804
177	1581	1795
178	1590	1786
179	1599	1777
180	1608	1768
181	1616	1758
182	1625	1749
183	1636	1743
184	1645	1734
185	1653	1724
186	1662	1715
187	1670	1705
188	1679	1697
189	1689	1689
190	1698	1680
191	1707	1671
192	1714	1661
193	1723	1652
194	1733	1644
195	1742	1635
196	1751	1626
197	1760	1617
198	1768	1608
199	1776	1598
200	1784	1589
201	1793	1579
202	1801	1570
203	1809	1561
204	1818	1552
205	1827	1543
206	1835	1534
207	1845	1526
208	1854	1517
209	1862	1507
210	1871	1498
211	1879	1489
212	1890	1481
213	1899	1473
214	1909	1465
215	1917	1455
216	1926	1447
217	1936	1438
218	1946	1430
219	1956	1422
220	1966	1414
221	1974	1405
222	1984	1397
223	1993	1388
224	2003	1380
225	2013	1371
226	2021	1362
227	2031	1354
228	2041	1346
229	2052	1338
230	2060	1328
231	2070	1320
232	2079	1312
233	2088	1302
234	2096	1293
235	2104	1284
236	2112	1274
237	2121	1265
238	2133	1258
239	2140	1248
240	2148	1239
241	2156	1229
242	2163	1219
243	2170	1209
244	2178	1200
245	2185	1190
246	2192	1180
247	2199	1170
248	2207	1161
249	2214	1151
250	2222	1142
251	2229	1132
252	2236	1122
253	2245	1113
254	2254	1104
255	2261	1095
256	2268	1085
257	2275	1076
258	2282	1066
259	2305	1063
260	2312	1054
261	2321	1045
262	2330	1036
263	2338	1027
264	2346	1018
265	2356	1009
266	2365	1001
267	2373	992
268	2382	983
269	2390	973
